supervisor_district_2012,property_location,parcel_number,block,lot,volume_number,use_code,use_definition,property_class_code,property_class_code_definition,year_property_built,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_of_stories,number_of_units,closed_roll_year,zoning_code,construction_type,lot_depth,lot_frontage,property_area,basement_area,lot_area,lot_code,the_geom,tax_rate_area_code,percent_of_ownership,exemption_code,exemption_code_definition,status_code,misc_exemption_value,homeowner_exemption_value,current_sales_date,assessed_fixtures_value,assessed_improvement_value,assessed_land_value,assessed_personal_property_value,assessor_neighborhood_district,assessor_neighborhood_code,assessor_neighborhood,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of,row_id,total_assessed_value,property_price_per_sqft
2.0,0000 3277 PACIFIC             AV0000,0973039,0973,039,7.0,SRES,Single Family Residential,D,Dwelling,1994.0,5.0,6.0,20.0,3.0,1.0,2015,RH1,D,27.83,0.0,15858.0,4339.0,14061.3,R,POINT (-122.44889697039633 37.7912741928091),1000.0,1.0,,,,0.0,0.0,2005-10-25T00:00:00.000,0.0,11573238.0,17056049.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20150973039,28629287.0,1805.352944885862
2.0,0000 3355 PACIFIC             AV0000,0972014,0972,014,7.0,SRES,Single Family Residential,D,Dwelling,1926.0,7.0,4.0,13.0,3.0,1.0,2022,RH1,D,27.69,0.0,9081.0,0.0,7661.4,R,POINT (-122.45032557570102 37.79109228211567),1000.0,1.0,,,,0.0,0.0,2021-04-09T00:00:00.000,0.0,8568000.0,19992000.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220972014,28560000.0,3145.0280806078626
2.0,0000 2900 VALLEJO             ST0000,0956006,0956,006,7.0,SRES,Single Family Residential,D,Dwelling,1912.0,7.0,6.0,18.0,4.0,1.0,2022,RH1D,D,0.0,0.0,9921.0,2375.0,4948.0,,POINT (-122.445289553236 37.79415115456024),1000.0,1.0,,,,0.0,0.0,2019-04-05T00:00:00.000,0.0,8514545.0,19867274.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220956006,28381819.0,2860.782078419514
2.0,0000 2901 BROADWAY              0000,0964001,0964,001,7.0,SRES,Single Family Residential,D,Dwelling,1927.0,7.0,7.0,12.0,3.0,1.0,2014,RH1D,D,0.0,0.0,6848.0,0.0,16570.0,,POINT (-122.44511502390264 37.792679460959405),1000.0,1.0,,,,0.0,0.0,2012-12-07T00:00:00.000,0.0,8513476.0,19864778.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20140964001,28378254.0,4144.0207359813085
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2011,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,13565723.0,14696203.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20110963039,28261926.0,1970.5707711616233
2.0,0000 2901 BROADWAY              0000,0964001,0964,001,7.0,SRES,Single Family Residential,D,Dwelling,1927.0,7.0,7.0,12.0,3.0,1.0,2013,RH1D,D,0.0,0.0,6848.0,0.0,16570.0,,POINT (-122.44511502390264 37.792679460959405),1000.0,1.0,,,,0.0,0.0,2012-12-07T00:00:00.000,0.0,8475000.0,19775000.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20130964001,28250000.0,4125.292056074766
2.0,0000 2701 BROADWAY              0000,0962001,0962,001,7.0,SRES,Single Family Residential,D,Dwelling,1910.0,9.0,6.0,25.0,4.0,1.0,2015,RH1D,D,0.0,0.0,14910.0,1670.0,9112.0,,POINT (-122.44185551321608 37.793186288933356),1000.0,1.0,,,,0.0,0.0,2015-05-15T00:00:00.000,0.0,8465333.0,19752445.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20150962001,28217778.0,1892.5404426559355
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2019,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,18000063.0,10200095.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20190963039,28200158.0,1966.2639799191186
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2009,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,13496324.0,14621020.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20090963039,28117344.0,1960.489750383489
2.0,0000 3277 PACIFIC             AV0000,0973039,0973,039,7.0,SRES,Single Family Residential,D,Dwelling,1994.0,5.0,6.0,20.0,3.0,1.0,2014,RH1,D,27.83,0.0,15858.0,4339.0,14061.3,R,POINT (-122.44889697039633 37.7912741928091),1000.0,1.0,,,,0.0,0.0,2005-10-25T00:00:00.000,0.0,11346535.0,16721945.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20140973039,28068480.0,1769.988649262202
2.0,0000 2845 BROADWAY              0000,0963039,0963,039,7.0,SRES,Single Family Residential,D,Dwelling,2003.0,4.0,4.0,10.0,5.0,0.0,2010,RH1D,,0.0,0.0,14342.0,0.0,11764.0,O,POINT (-122.4440643630063 37.79274622668099),1000.0,1.0,,,,0.0,0.0,2002-11-22T00:00:00.000,0.0,13464338.0,14586368.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20100963039,28050706.0,1955.843397015758
2.0,0000 3277 PACIFIC             AV0000,0973039,0973,039,7.0,SRES,Single Family Residential,D,Dwelling,1994.0,5.0,6.0,20.0,3.0,1.0,2013,RH1,D,27.83,0.0,15858.0,4339.0,14061.3,R,POINT (-122.44889697039633 37.7912741928091),1000.0,1.0,,,,0.0,0.0,2005-10-25T00:00:00.000,0.0,11295255.0,16646371.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20130973039,27941626.0,1761.9892798587464
2.0,0000 2799 BROADWAY              0000,0962008D,0962,008D,7.0,SRES,Single Family Residential,D,Dwelling,2002.0,7.0,6.0,14.0,4.0,1.0,2022,RH1D,D,17.19,0.0,11558.0,1070.0,7095.85,R,POINT (-122.44295190568971 37.792975958199406),1000.0,1.0,,,,0.0,0.0,2008-09-05T00:00:00.000,0.0,7280942.0,20629348.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220962008D,27910290.0,2414.8027340370304
6.0,0730 0724 SITUS TO BE ASSIGNEDAV0000,0742028,0742,028,6.0,SRES,Single Family Residential,Z,Condominium,,0.0,0.0,0.0,0.0,0.0,2007,,,0.0,0.0,0.0,0.0,0.0,,POINT (-122.42003311496413 37.782343424064734),1000.0,1.0,,,,0.0,0.0,,0.0,20450000.0,7386840.0,0.0,8.0,8F,Van Ness/ Civic Center,5.0,Tenderloin,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20070742028,27836840.0,
2.0,0000 2900 VALLEJO             ST0000,0956006,0956,006,7.0,SRES,Single Family Residential,D,Dwelling,1912.0,7.0,6.0,18.0,4.0,1.0,2021,RH1D,D,0.0,0.0,9921.0,2375.0,4948.0,,POINT (-122.445289553236 37.79415115456024),1000.0,1.0,,,,0.0,0.0,2019-04-05T00:00:00.000,0.0,8347594.0,19477720.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20210956006,27825314.0,2804.688438665457
2.0,0000 0950 LOMBARD             ST0000,0067041,0067,041,1.0,SRES,Single Family Residential,D,Dwelling,2018.0,7.0,6.0,15.0,4.0,0.0,2022,,,0.0,0.0,9500.0,0.0,15709.0,O,POINT (-122.41708423637276 37.80279460999378),1000.0,1.0,,,,0.0,0.0,2020-03-31T00:00:00.000,0.0,9275104.0,18550209.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20220067041,27825313.0,2928.9803157894735
2.0,0000 2701 BROADWAY              0000,0962001,0962,001,7.0,SRES,Single Family Residential,D,Dwelling,1910.0,9.0,6.0,25.0,4.0,1.0,2014,RH1D,D,0.0,0.0,14910.0,1670.0,9112.0,,POINT (-122.44185551321608 37.793186288933356),1000.0,1.0,,,,0.0,0.0,2012-02-29T00:00:00.000,0.0,8299509.0,19365522.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20140962001,27665031.0,1855.468209255533
2.0,2520 2520 PACIFIC             AV0000,0583012,0583,012,5.0,SRES,Single Family Residential,D,Dwelling,1905.0,5.0,0.0,19.0,3.0,1.0,2018,RH1,C,0.0,0.0,9320.0,0.0,7466.0,,POINT (-122.43773624968992 37.79325919816034),1000.0,1.0,,,,0.0,0.0,2014-03-31T00:00:00.000,0.0,9887459.0,17722739.0,0.0,7.0,7B,Pacific Heights,2.0,Pacific Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20180583012,27610198.0,2962.4675965665238
5.0,0000 1300 FILLMORE STREET       0000,0732034,0732,034,6.0,SRES,Single Family Residential,Z,Condominium,2007.0,0.0,0.0,0.0,20.0,0.0,2007,,B,0.0,0.0,83682.0,0.0,0.0,,POINT (-122.43197700041691 37.7819513052549),1000.0,1.0,,,,0.0,0.0,2005-09-09T00:00:00.000,0.0,22761504.0,4824090.0,0.0,6.0,6D,Western Addition,5.0,Western Addition,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20070732034,27585594.0,329.6478812647881
2.0,0000 3760 WASHINGTON          ST0000,0988015,0988,015,7.0,SRES,Single Family Residential,D,Dwelling,1926.0,6.0,0.0,24.0,3.0,1.0,2021,RH1,C,0.0,0.0,10351.0,1843.0,11173.0,O,POINT (-122.45504347285231 37.78923182978957),1000.0,1.0,,,,0.0,0.0,2019-03-07T00:00:00.000,0.0,8453009.0,19117021.0,0.0,7.0,7C,Presidio Heights,2.0,Presidio Heights,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20210988015,27570030.0,2663.5136701767947
